"REF_DATE","GEO","DGUID","Sex","Primary types of cancer ","Trends","Characteristics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2021","Canada","2016A000011124","Both sexes","Total, all primary sites of cancer","First trend","Annual percent change (APC)","Percentage","242","units","0","v1299910130","1.1.1.1.1","-0.1","","","","1"
"2021","Canada","2016A000011124","Both sexes","Total, all primary sites of cancer","First trend","Start year of period","Number","223","units","0","v1299910131","1.1.1.1.2","1984","","","","0"
"2021","Canada","2016A000011124","Both sexes","Total, all primary sites of cancer","First trend","End year of period","Number","223","units","0","v1299910132","1.1.1.1.3","1992","","","","0"
"2021","Canada","2016A000011124","Both sexes","Total, all primary sites of cancer","Second trend","Annual percent change (APC)","Percentage","242","units","0","v1299910135","1.1.1.2.1","-0.7","","","","1"
"2021","Canada","2016A000011124","Both sexes","Total, all primary sites of cancer","Second trend","Start year of period","Number","223","units","0","v1299910136","1.1.1.2.2","1992","","","","0"
"2021","Canada","2016A000011124","Both sexes","Total, all primary sites of cancer","Second trend","End year of period","Number","223","units","0","v1299910137","1.1.1.2.3","2002","","","","0"
"2021","Canada","2016A000011124","Both sexes","Total, all primary sites of cancer","Third trend","Annual percent change (APC)","Percentage","242","units","0","v1299910140","1.1.1.3.1","-1.3","","","","1"
"2021","Canada","2016A000011124","Both sexes","Total, all primary sites of cancer","Third trend","Start year of period","Number","223","units","0","v1299910141","1.1.1.3.2","2002","","","","0"
"2021","Canada","2016A000011124","Both sexes","Total, all primary sites of cancer","Third trend","End year of period","Number","223","units","0","v1299910142","1.1.1.3.3","2016","","","","0"
"2021","Canada","2016A000011124","Both sexes","Total, all primary sites of cancer","Fourth trend","Annual percent change (APC)","Percentage","242","units","0","v1299910145","1.1.1.4.1","-2.2","","","","1"
"2021","Canada","2016A000011124","Both sexes","Total, all primary sites of cancer","Fourth trend","Start year of period","Number","223","units","0","v1299910146","1.1.1.4.2","2016","","","","0"
"2021","Canada","2016A000011124","Both sexes","Total, all primary sites of cancer","Fourth trend","End year of period","Number","223","units","0","v1299910147","1.1.1.4.3","2020","","","","0"
"2021","Canada","2016A000011124","Both sexes","Total, all primary sites of cancer","Fifth trend","Annual percent change (APC)","Percentage","242","units","0","v1299910150","1.1.1.5.1","","..","","","1"
"2021","Canada","2016A000011124","Both sexes","Total, all primary sites of cancer","Fifth trend","Start year of period","Number","223","units","0","v1299910151","1.1.1.5.2","","..","","","0"
