Cancer site,Sex,Age,Years,RegionID,Region,5-year RSR (%),SE,Lower 95%CI,Upper 95%CI
All cancer,Both sexes,all ages (15 to 99),2014-18,3526.0,Algoma,62.8,1.1,60.5,65
All cancer,Both sexes,all ages (15 to 99),2014-18,3527.0,Brant County,62.3,1.3,59.7,64.7
All cancer,Both sexes,all ages (15 to 99),2014-18,3530.0,Durham Region,67.2,0.6,66,68.4
All cancer,Both sexes,all ages (15 to 99),2014-18,3533.0,Grey-Bruce,67.1,1,65.1,69
All cancer,Both sexes,all ages (15 to 99),2014-18,3534.0,Haldimand-Norfolk,63.3,1.3,60.8,65.7
All cancer,Both sexes,all ages (15 to 99),2014-18,3535.0,Haliburton Kawartha Pine Ridge,63.6,0.9,61.8,65.4
All cancer,Both sexes,all ages (15 to 99),2014-18,3536.0,Halton Region,71.6,0.7,70.3,72.9
All cancer,Both sexes,all ages (15 to 99),2014-18,3537.0,Hamilton,63.4,0.6,62.1,64.6
All cancer,Both sexes,all ages (15 to 99),2014-18,3538.0,Hastings Prince Edward Counties,61.8,1,59.7,63.8
All cancer,Both sexes,all ages (15 to 99),2014-18,3539.0,Huron County,63.9,1.7,60.3,67.2
All cancer,Both sexes,all ages (15 to 99),2014-18,3540.0,Chatham-Kent,62.3,1.4,59.6,65
All cancer,Both sexes,all ages (15 to 99),2014-18,3541.0,Kingston Frontenac Lennox Addington,64.3,1,62.3,66.3
All cancer,Both sexes,all ages (15 to 99),2014-18,3542.0,Lambton,62.2,1.2,59.9,64.5
All cancer,Both sexes,all ages (15 to 99),2014-18,3543.0,Leeds Grenville and Lanark,65.6,1,63.6,67.5
All cancer,Both sexes,all ages (15 to 99),2014-18,3544.0,Middlesex-London,65.2,0.7,63.8,66.5
All cancer,Both sexes,all ages (15 to 99),2014-18,3546.0,Niagara Region,64.8,0.6,63.5,66
All cancer,Both sexes,all ages (15 to 99),2014-18,3547.0,North Bay Parry Sound,62.5,1.2,60.1,64.7
All cancer,Both sexes,all ages (15 to 99),2014-18,3549.0,Northwestern,53.8,1.8,50.1,57.3
All cancer,Both sexes,all ages (15 to 99),2014-18,3551.0,Ottawa,69.2,0.5,68.2,70.2
All cancer,Both sexes,all ages (15 to 99),2014-18,3575.0,Southwestern,65,1,62.9,66.9
All cancer,Both sexes,all ages (15 to 99),2014-18,3553.0,Peel,69.4,0.5,68.5,70.4
All cancer,Both sexes,all ages (15 to 99),2014-18,3554.0,Perth,63.7,1.7,60.2,66.9
All cancer,Both sexes,all ages (15 to 99),2014-18,3555.0,Peterborough,61.4,1.1,59.3,63.5
