Cancer site,Sex,Age,Years,RegionID,Region,5-year RSR (%),SE,Lower 95%CI,Upper 95%CI
All cancer,Both sexes,all ages (15 to 99),2014-18,3501.0,Erie St Clair,62.9,0.6,61.8,63.9
All cancer,Both sexes,all ages (15 to 99),2014-18,3502.0,South West,65.4,0.5,64.5,66.3
All cancer,Both sexes,all ages (15 to 99),2014-18,3503.0,Waterloo Wellington,65.7,0.6,64.5,66.8
All cancer,Both sexes,all ages (15 to 99),2014-18,3504.0,Hamilton Niagara Haldimand Brant,64.6,0.4,63.9,65.4
All cancer,Both sexes,all ages (15 to 99),2014-18,3505.0,Central West,69.4,0.6,68.2,70.5
All cancer,Both sexes,all ages (15 to 99),2014-18,3506.0,Mississauga Halton,70.7,0.5,69.7,71.6
All cancer,Both sexes,all ages (15 to 99),2014-18,3507.0,Toronto Central,68.9,0.5,68,69.8
All cancer,Both sexes,all ages (15 to 99),2014-18,3508.0,Central,72.6,0.4,71.9,73.3
All cancer,Both sexes,all ages (15 to 99),2014-18,3509.0,Central East,66.3,0.4,65.5,67
All cancer,Both sexes,all ages (15 to 99),2014-18,3510.0,South East,63.8,0.6,62.6,65
All cancer,Both sexes,all ages (15 to 99),2014-18,3511.0,Champlain,66.8,0.4,65.9,67.6
All cancer,Both sexes,all ages (15 to 99),2014-18,3512.0,North Simcoe Muskoka,67.7,0.6,66.4,68.9
All cancer,Both sexes,all ages (15 to 99),2014-18,3513.0,North East,62.2,0.6,61,63.3
All cancer,Both sexes,all ages (15 to 99),2014-18,3514.0,North West,59.4,1,57.5,61.2
All cancer,Both sexes,all ages (15 to 99),2014-18,35.0,Ontario,66.9,0.1,66.6,67.1
All cancer,Males,all ages (15 to 99),2014-18,3501.0,Erie St Clair,60.8,0.8,59.3,62.4
All cancer,Males,all ages (15 to 99),2014-18,3502.0,South West,64.7,0.7,63.4,66
All cancer,Males,all ages (15 to 99),2014-18,3503.0,Waterloo Wellington,63.3,0.8,61.6,64.9
All cancer,Males,all ages (15 to 99),2014-18,3504.0,Hamilton Niagara Haldimand Brant,63.5,0.6,62.4,64.5
All cancer,Males,all ages (15 to 99),2014-18,3505.0,Central West,68.4,0.9,66.6,70
All cancer,Males,all ages (15 to 99),2014-18,3506.0,Mississauga Halton,70.1,0.7,68.7,71.5
All cancer,Males,all ages (15 to 99),2014-18,3507.0,Toronto Central,66.5,0.7,65.1,67.8
All cancer,Males,all ages (15 to 99),2014-18,3508.0,Central,71.9,0.5,70.8,72.9
All cancer,Males,all ages (15 to 99),2014-18,3509.0,Central East,64.9,0.6,63.8,65.9
All cancer,Males,all ages (15 to 99),2014-18,3510.0,South East,61.5,0.9,59.8,63.2
All cancer,Males,all ages (15 to 99),2014-18,3511.0,Champlain,66.7,0.6,65.5,67.9
All cancer,Males,all ages (15 to 99),2014-18,3512.0,North Simcoe Muskoka,66.7,0.9,64.9,68.5
All cancer,Males,all ages (15 to 99),2014-18,3513.0,North East,60.3,0.8,58.6,61.9
All cancer,Males,all ages (15 to 99),2014-18,3514.0,North West,56.6,1.4,53.8,59.3
All cancer,Males,all ages (15 to 99),2014-18,35.0,Ontario,65.6,0.2,65.2,66
All cancer,Females,all ages (15 to 99),2014-18,3501.0,Erie St Clair,64.9,0.8,63.3,66.4
All cancer,Females,all ages (15 to 99),2014-18,3502.0,South West,65.9,0.6,64.6,67.1
All cancer,Females,all ages (15 to 99),2014-18,3503.0,Waterloo Wellington,67.8,0.8,66.2,69.3
All cancer,Females,all ages (15 to 99),2014-18,3504.0,Hamilton Niagara Haldimand Brant,65.5,0.5,64.5,66.6
All cancer,Females,all ages (15 to 99),2014-18,3505.0,Central West,70,0.8,68.3,71.6
All cancer,Females,all ages (15 to 99),2014-18,3506.0,Mississauga Halton,70.9,0.6,69.7,72.2
All cancer,Females,all ages (15 to 99),2014-18,3507.0,Toronto Central,70.9,0.6,69.7,72.2
All cancer,Females,all ages (15 to 99),2014-18,3508.0,Central,72.8,0.5,71.8,73.8
All cancer,Females,all ages (15 to 99),2014-18,3509.0,Central East,67.2,0.5,66.2,68.2
All cancer,Females,all ages (15 to 99),2014-18,3510.0,South East,65.7,0.8,64.1,67.3
All cancer,Females,all ages (15 to 99),2014-18,3511.0,Champlain,66.5,0.6,65.3,67.6
All cancer,Females,all ages (15 to 99),2014-18,3512.0,North Simcoe Muskoka,68.3,0.9,66.6,70
All cancer,Females,all ages (15 to 99),2014-18,3513.0,North East,63.6,0.8,62,65.1
All cancer,Females,all ages (15 to 99),2014-18,3514.0,North West,61.2,1.3,58.5,63.7
